iter	Logloss
0	0.5951056095
1	0.4940292086
2	0.4283100964
3	0.3779346128
4	0.3431596119
5	0.3104993401
6	0.2836937177
7	0.2661166923
8	0.2469170796
9	0.2272281241
10	0.2142542583
11	0.2015056848
12	0.1905498355
13	0.1820860462
14	0.1738061462
15	0.1644934917
16	0.1581442317
17	0.1512605105
18	0.143584275
19	0.1376774662
20	0.131375099
21	0.1266763345
22	0.1219108384
23	0.11815107
24	0.1128892097
25	0.1097013271
26	0.1067232291
27	0.1037334063
28	0.1009915121
29	0.09726836957
30	0.09384184173
31	0.09008161687
32	0.08828696272
33	0.08582758148
34	0.08328352158
35	0.07997729266
36	0.07835915791
37	0.07617199585
38	0.07495737864
39	0.07342918188
40	0.07137764551
41	0.06896435919
42	0.06783821235
43	0.06634181459
44	0.06464660135
45	0.0623972186
46	0.06094528263
47	0.05970062467
48	0.05803230249
49	0.05722000645
50	0.05599886261
51	0.05432994504
52	0.05315842215
53	0.0519216701
54	0.05078819599
55	0.04978598051
56	0.04884291352
57	0.048010767
58	0.04662959635
59	0.04573416644
60	0.04492079292
61	0.04371998987
62	0.04271149044
63	0.04207841424
64	0.04116013884
65	0.0401611916
66	0.03907051822
67	0.03811062367
68	0.03758888993
69	0.0370197861
70	0.03618802611
71	0.03535187901
72	0.03485085452
73	0.03420243973
74	0.03354326129
75	0.03270202826
76	0.03181418276
77	0.03105558476
78	0.03050289502
79	0.02984159971
80	0.02917023533
81	0.0286613
82	0.02812524899
83	0.02759946181
84	0.02736047444
85	0.02675983499
86	0.02639436196
87	0.02610517106
88	0.02575769306
89	0.02542691224
90	0.02498730779
91	0.02465840017
92	0.02410445824
93	0.02372599141
94	0.0235222473
95	0.02319680134
96	0.02285580333
97	0.02230732402
98	0.0218451565
99	0.02151054193
100	0.02125949636
101	0.02089712377
102	0.02051693053
103	0.02011423925
104	0.01989512995
105	0.01961423477
106	0.01935018258
107	0.01917443788
108	0.01898696304
109	0.01866090002
110	0.01851184572
111	0.01819393523
112	0.01796741164
113	0.01776779125
114	0.01746488176
115	0.01720815979
116	0.01699044061
117	0.01688115492
118	0.01667400562
119	0.0164970442
120	0.01623407047
121	0.01612104529
122	0.01587274515
123	0.01561073758
124	0.01556310378
125	0.01531684924
126	0.01517725221
127	0.01495425366
128	0.01474455303
129	0.01457973288
130	0.01443768861
131	0.01434009857
132	0.01413330165
133	0.01386749449
134	0.01376237094
135	0.01363570894
136	0.01348760831
137	0.01336521551
138	0.01321259609
139	0.01302285497
140	0.01289576407
141	0.01278089886
142	0.01271083401
143	0.01258587246
144	0.01244961789
145	0.01239763541
146	0.0122369137
147	0.01207128964
148	0.01196369258
149	0.0118650996
150	0.01174244736
151	0.01158884012
152	0.01144042751
153	0.01131161185
154	0.011178571
155	0.01109284146
156	0.01096834296
157	0.01085957088
158	0.01075669491
159	0.01062404748
160	0.01053403297
161	0.01046284959
162	0.01030810411
163	0.0102163701
164	0.01012416779
165	0.01002467565
166	0.00993700658
167	0.009840996141
168	0.009740867562
169	0.009646717182
170	0.009534424658
171	0.009456545197
172	0.009372078026
173	0.009265070119
174	0.009186545023
175	0.009148183933
176	0.009071698202
177	0.008979539897
178	0.00889932354
179	0.008828965757
180	0.008753798225
181	0.008693105262
182	0.008651060835
183	0.008606411537
184	0.00852502279
185	0.008462090794
186	0.00841536141
187	0.008329022358
188	0.008271284997
189	0.008210473153
190	0.008135335833
191	0.008066181309
192	0.008015086828
193	0.007949044882
194	0.007895361293
195	0.007855764762
196	0.007821600628
197	0.007786413855
198	0.007726261438
199	0.00769044151
